1.558105	1.558105	B
2.710105	2.710105	B
3.843105	3.843105	B
4.963105	4.963105	B
5.238105	5.238105	A
6.069105	6.069105	B
7.187105	7.187105	B
7.470105	7.470105	A
8.315105	8.315105	B
9.441105	9.441105	B
9.715105	9.715105	A
10.559105	10.559105	B
13.365926	13.365926	B
13.926926	13.926926	A
14.207926	14.207926	B
14.507926	14.507926	A
15.059926	15.059926	B
16.184926	16.184926	B
16.475926	16.475926	A
16.750926	16.750926	B
17.308926	17.308926	A
17.595926	17.595926	B
17.878926	17.878926	A
18.432926	18.432926	B
18.716926	18.716926	A
18.997926	18.997926	B
33.048157	33.048157	B
33.073157	33.073157	A
33.600157	33.600157	C
34.139157	34.139157	B
34.709157	34.709157	B
35.261157	35.261157	A
35.839157	35.839157	B
36.392157	36.392157	A
36.962157	36.962157	B
37.506157	37.506157	A
39.206157	39.206157	B
40.869157	40.869157	B
41.151157	41.151157	A
41.442157	41.442157	B
42.022157	42.022157	B
43.128157	43.128157	B
44.242157	44.242157	B
44.810157	44.810157	B
44.819157	44.819157	A
45.354157	45.354157	C
45.651157	45.651157	B
45.925157	45.925157	C
46.490157	46.490157	B
46.753157	46.753157	C
47.042157	47.042157	B
47.270157	47.270157	A
47.610157	47.610157	B
48.212157	48.212157	B
48.253157	48.253157	A
48.458157	48.458157	C
48.769157	48.769157	D
49.313157	49.313157	B
49.882157	49.882157	B
51.001157	51.001157	B
52.129157	52.129157	B
53.248157	53.248157	B
53.550157	53.550157	A
53.772157	53.772157	C
54.080157	54.080157	B
54.358157	54.358157	C
54.374157	54.374157	A
54.906157	54.906157	B
55.992157	55.992157	B
56.578157	56.578157	B
57.447157	57.447157	B
57.678157	57.678157	A
57.691157	57.691157	C
58.005157	58.005157	D
59.341157	59.341157	B
59.924157	59.924157	B
60.469157	60.469157	A
61.032157	61.032157	B
61.586157	61.586157	A
61.877157	61.877157	B
62.147157	62.147157	A
62.995157	62.995157	B
63.265157	63.265157	A
63.816157	63.816157	B
64.372157	64.372157	A
65.508157	65.508157	B
65.587943	65.587943	A
65.601943	65.601943	B
66.619794	66.619794	B
66.629794	66.629794	A
66.638794	66.638794	C
67.719794	67.719794	B
68.016794	68.016794	A
68.305794	68.305794	B
68.850794	68.850794	A
69.149794	69.149794	B
69.436794	69.436794	A
69.754794	69.754794	B
69.973794	69.973794	C
71.102852	71.102852	B
71.391852	71.391852	A
71.673852	71.673852	B
72.222852	72.222852	A
72.276852	72.276852	B
72.525852	72.525852	C
73.355852	73.355852	B
73.910852	73.910852	B
74.463852	74.463852	A
74.590852	74.590852	B
75.018852	75.018852	C
75.594852	75.594852	B
76.165484	76.165484	B
76.708484	76.708484	A
76.986484	76.986484	B
77.273484	77.273484	A
77.819484	77.819484	B
78.385484	78.385484	B
78.933061	78.933061	B
79.227061	79.227061	A
79.310061	79.310061	C
79.335061	79.335061	B
79.518061	79.518061	B
80.645061	80.645061	B
81.202061	81.202061	A
81.762061	81.762061	A
82.294061	82.294061	B
82.864061	82.864061	B
83.404061	83.404061	B
83.682061	83.682061	A
84.223061	84.223061	B
85.076061	85.076061	B
85.633061	85.633061	A
86.216669	86.216669	B
86.240669	86.240669	A
86.748669	86.748669	C
87.873669	87.873669	B
88.455669	88.455669	B
88.990669	88.990669	A
89.558331	89.558331	B
90.117331	90.117331	B
90.679331	90.679331	A
91.229331	91.229331	B
91.786331	91.786331	B
92.909331	92.909331	B
93.464331	93.464331	A
93.756331	93.756331	B
94.038331	94.038331	A
94.585331	94.585331	B
96.244331	96.244331	B
97.932331	97.932331	B
98.500331	98.500331	B
99.049331	99.049331	A
20.691386	20.691386	B
21.253386	21.253386	A
21.808386	21.808386	B
23.509386	23.509386	B
24.059386	24.059386	A
24.627386	24.627386	B
26.311386	26.311386	B
27.420386	27.420386	B
27.699386	27.699386	A
28.557386	28.557386	B
29.115386	29.115386	A
29.668386	29.668386	B
30.241386	30.241386	B
30.793386	30.793386	A
31.902386	31.902386	B
32.189386	32.189386	A
32.472386	32.472386	B
